'Reason for absence','Month of absence','Day of the week',Seasons,'Transportation expense','Distance from Residence to Work','Service time',Age,'Work load Average/day ','Hit target','Disciplinary failure',Education,Son,'Social drinker','Social smoker',Pet,Weight,Height,'Body mass index','Absenteeism time in hours'
'\'(25.2-inf)\'','\'(-inf-1.2]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','313,532','\'(94.3-96.2]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(25.2-inf)\'','\'(-inf-1.2]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','313,532','\'(94.3-96.2]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(11.2-14]\'','\'(1.2-2.4]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',8
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',3
'\'(-inf-2.8]\'','\'(1.2-2.4]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(23.8-28.5]\'','\'(12.2-15]\'','\'(45.6-48.7]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(82-87.2]\'','\'(-inf-166.3]\'','\'(30.4-32.3]\'',8
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',3
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-61.2]\'','\'(169.6-172.9]\'','\'(-inf-20.9]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(14.4-19.1]\'','\'(12.2-15]\'','\'(39.4-42.5]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(3.7-inf)\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(92.4-97.6]\'','\'(179.5-182.8]\'','\'(26.6-28.5]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(16.8-19.6]\'','\'(1.2-2.4]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(47.3-inf)\'','\'(-inf-3.8]\'','\'(30.1-33.2]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(1.9-2.2]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(7.2-inf)\'','\'(66.4-71.6]\'','\'(176.2-179.5]\'','\'(20.9-22.8]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(5.6-8.4]\'','\'(1.2-2.4]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',8
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',3
'\'(11.2-14]\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-61.2]\'','\'(169.6-172.9]\'','\'(-inf-20.9]\'',2
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(19.1-23.8]\'','\'(15-17.8]\'','\'(39.4-42.5]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(1.9-2.2]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(169.6-172.9]\'','\'(20.9-22.8]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(11.2-14]\'','\'(1.2-2.4]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(47.3-inf)\'','\'(-inf-3.8]\'','\'(30.1-33.2]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(1.9-2.2]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(7.2-inf)\'','\'(66.4-71.6]\'','\'(176.2-179.5]\'','\'(20.9-22.8]\'',3
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-61.2]\'','\'(169.6-172.9]\'','\'(-inf-20.9]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(11.2-14]\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',8
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(145-172]\'','\'(9.7-14.4]\'','\'(12.2-15]\'','\'(33.2-36.3]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(92.4-97.6]\'','\'(192.7-inf)\'','\'(24.7-26.6]\'',5
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(14.4-19.1]\'','\'(6.6-9.4]\'','\'(30.1-33.2]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(71.6-76.8]\'','\'(176.2-179.5]\'','\'(24.7-26.6]\'',3
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(5.6-8.4]\'','\'(1.2-2.4]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(23.8-28.5]\'','\'(12.2-15]\'','\'(45.6-48.7]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(82-87.2]\'','\'(-inf-166.3]\'','\'(30.4-32.3]\'',2
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(25.2-inf)\'','\'(1.2-2.4]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(22.4-25.2]\'','\'(1.2-2.4]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(14.4-19.1]\'','\'(6.6-9.4]\'','\'(30.1-33.2]\'','264,249','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(71.6-76.8]\'','\'(176.2-179.5]\'','\'(24.7-26.6]\'',2
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(22.4-25.2]\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(23.8-28.5]\'','\'(12.2-15]\'','\'(45.6-48.7]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(82-87.2]\'','\'(-inf-166.3]\'','\'(30.4-32.3]\'',2
'\'(22.4-25.2]\'','\'(2.4-3.6]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(9.7-14.4]\'','\'(15-17.8]\'','\'(54.9-inf)\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(61.2-66.4]\'','\'(169.6-172.9]\'','\'(20.9-22.8]\'',3
'\'(22.4-25.2]\'','\'(2.4-3.6]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(23.8-28.5]\'','\'(12.2-15]\'','\'(45.6-48.7]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(82-87.2]\'','\'(-inf-166.3]\'','\'(30.4-32.3]\'',3
'\'(11.2-14]\'','\'(2.4-3.6]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(9.7-14.4]\'','\'(15-17.8]\'','\'(54.9-inf)\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(61.2-66.4]\'','\'(169.6-172.9]\'','\'(20.9-22.8]\'',112
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',2
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(22.4-25.2]\'','\'(2.4-3.6]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',2
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-61.2]\'','\'(169.6-172.9]\'','\'(-inf-20.9]\'',3
'\'(22.4-25.2]\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(14.4-19.1]\'','\'(6.6-9.4]\'','\'(30.1-33.2]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(71.6-76.8]\'','\'(176.2-179.5]\'','\'(24.7-26.6]\'',3
'\'(16.8-19.6]\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(334-361]\'','\'(47.3-inf)\'','\'(-inf-3.8]\'','\'(-inf-30.1]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(3.2-4]\'','\'(76.8-82]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',8
'\'(11.2-14]\'','\'(2.4-3.6]\'','\'(2.8-3.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',8
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(3.6-4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(4.8-5.2]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(5.6-inf)\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-61.2]\'','\'(169.6-172.9]\'','\'(-inf-20.9]\'',2
'\'(8.4-11.2]\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',4
'\'(11.2-14]\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(226-253]\'','\'(23.8-28.5]\'','\'(12.2-15]\'','\'(45.6-48.7]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(82-87.2]\'','\'(-inf-166.3]\'','\'(30.4-32.3]\'',2
'\'(25.2-inf)\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(5.6-8.4]\'','\'(2.4-3.6]\'','\'(-inf-2.4]\'','\'(1.9-2.2]\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','222,196','\'(98.1-inf)\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',8
